Year,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,oppo. eFG%,oppo. TOV%,oppo. DRB%,oppo. FT/FGA,Arena,Attend.,Attend./G
2000,Los Angeles Lakers,29.2,67,15,64,18,8.55,-0.14,8.41,107.3,98.2,+9.1,93.3,.346,.153,.525,.484,12.7,30.6,.241,.443,13.4,73.1,.222,STAPLES Center,"771,420",0
2000,Portland Trail Blazers,29.6,59,23,59,23,6.40,-0.04,6.36,107.9,100.8,+7.1,89.9,.316,.175,.546,.501,14.5,30.3,.240,.461,13.8,72.4,.217,Rose Garden Arena,"835,078",0
2000,San Antonio Spurs,30.9,53,29,58,24,5.94,-0.02,5.92,105.0,98.6,+6.4,90.8,.346,.138,.535,.488,14.3,27.8,.258,.451,13.5,73.0,.188,Alamodome,"884,450",0
2000,Phoenix Suns,28.6,53,29,56,26,5.22,0.02,5.24,104.6,99.0,+5.6,94.0,.286,.184,.532,.491,15.2,29.3,.217,.454,15.7,70.5,.245,America West Arena,"773,115",0
2000,Utah Jazz,31.5,55,27,54,28,4.46,0.05,4.52,107.3,102.3,+5.0,89.6,.337,.134,.540,.490,14.3,29.5,.260,.477,15.0,73.2,.256,Delta Center,"801,268",0
2000,Indiana Pacers,30.4,56,26,54,28,4.60,-0.45,4.15,108.5,103.6,+4.9,93.1,.302,.224,.552,.503,13.3,24.9,.245,.469,12.6,71.5,.197,Conseco Fieldhouse,"752,145",0
2000,Miami Heat,29.2,52,30,50,32,3.11,-0.36,2.75,104.5,101.0,+3.5,89.7,.283,.186,.533,.495,14.5,28.2,.208,.453,13.3,72.9,.229,AmericanAirlines Arena,"706,725",0
2000,Sacramento Kings,27.5,44,38,49,33,2.91,0.12,3.04,105.0,102.1,+2.9,99.3,.277,.227,.526,.486,13.9,27.7,.209,.479,15.1,69.7,.198,ARCO Arena (II),"720,033",0
2000,Charlotte Hornets,28.7,49,33,49,33,2.67,-0.34,2.33,104.3,101.4,+2.9,93.9,.376,.153,.530,.475,13.7,25.7,.285,.478,14.6,73.2,.198,Charlotte Coliseum,"732,827",0
2000,Minnesota Timberwolves,26.6,50,32,48,34,2.52,0.14,2.67,106.1,103.4,+2.7,91.8,.256,.104,.525,.485,12.9,29.4,.200,.474,14.0,73.0,.250,Target Center,"690,012",0
2000,New York Knicks,29.5,50,32,46,36,1.46,-0.16,1.30,102.5,100.9,+1.6,89.2,.283,.147,.527,.482,14.4,24.7,.221,.455,13.6,73.1,.251,Madison Square Garden (IV),"810,103",0
2000,Detroit Pistons,28.3,42,40,45,37,1.44,-0.31,1.13,107.3,105.8,+1.5,95.7,.378,.184,.548,.492,14.3,26.8,.295,.499,15.4,71.6,.249,The Palace of Auburn Hills,"678,470",0
2000,Philadelphia 76ers,27.1,49,33,45,37,1.34,-0.32,1.02,101.5,100.0,+1.5,92.7,.329,.095,.501,.457,14.2,31.4,.233,.466,16.2,69.9,.229,First Union Center,"756,956",0
2000,Seattle SuperSonics,28.5,45,37,44,38,0.95,0.22,1.17,105.6,104.6,+1.0,93.4,.282,.232,.520,.487,12.9,28.5,.196,.483,14.0,69.6,.193,KeyArena at Seattle Center,"615,730",0
2000,Orlando Magic,26.3,41,41,43,39,0.68,-0.26,0.43,102.4,101.7,+0.7,97.3,.305,.124,.516,.473,15.4,31.6,.224,.476,15.9,69.9,.226,TD Waterhouse Centre,"576,409",0
2000,Milwaukee Bucks,28.2,42,40,42,40,0.22,-0.28,-0.06,108.2,107.9,+0.3,92.7,.290,.157,.539,.494,13.8,30.0,.228,.496,14.6,69.6,.254,Bradley Center,"628,605",0
2000,Toronto Raptors,29.3,45,37,41,41,-0.16,-0.30,-0.46,104.7,104.9,-0.2,92.5,.300,.170,.511,.464,12.7,30.1,.230,.480,14.2,71.8,.247,Air Canada Centre,"756,496",0
2000,Dallas Mavericks,26.3,40,42,39,43,-0.57,0.29,-0.29,106.6,107.2,-0.6,94.9,.248,.188,.532,.490,12.6,25.5,.200,.488,14.2,66.1,.210,Reunion Arena,"606,177",0
2000,Boston Celtics,25.4,35,47,39,43,-0.76,-0.24,-1.00,104.8,105.6,-0.8,94.6,.316,.183,.520,.474,13.8,30.4,.236,.498,15.8,73.8,.306,FleetCenter,"683,608",0
2000,Houston Rockets,26.3,34,48,39,43,-0.87,0.30,-0.57,104.8,105.7,-0.9,94.2,.322,.244,.536,.494,15.8,29.1,.236,.481,12.5,71.6,.201,Compaq Center,"624,594",0
2000,New Jersey Nets,27.3,31,51,38,44,-1.04,-0.15,-1.18,105.1,106.3,-1.2,92.5,.297,.200,.517,.468,12.6,28.1,.233,.491,15.2,67.2,.223,Continental Airlines Arena,"643,631",0
2000,Denver Nuggets,25.9,35,47,35,47,-2.12,0.36,-1.76,103.5,105.8,-2.3,94.7,.306,.202,.517,.476,14.0,29.2,.222,.479,13.0,71.6,.235,Pepsi Center,"637,698",0
2000,Washington Wizards,28.0,29,53,32,50,-3.28,-0.19,-3.47,103.5,107.0,-3.5,92.7,.315,.133,.521,.476,14.8,30.6,.234,.489,13.9,71.7,.273,MCI Center,"616,593",0
2000,Cleveland Cavaliers,27.2,32,50,31,51,-3.50,-0.14,-3.64,100.4,104.0,-3.6,95.7,.327,.136,.516,.468,15.6,28.1,.245,.474,15.1,71.2,.275,Gund Arena,"603,702",0
2000,Atlanta Hawks,27.6,28,54,26,56,-5.38,-0.04,-5.41,102.0,107.9,-5.9,91.7,.292,.120,.503,.460,14.1,31.7,.217,.481,11.3,71.0,.196,Philips Arena,"600,954",0
2000,Vancouver Grizzlies,25.3,22,60,25,57,-5.62,0.52,-5.10,102.3,108.5,-6.2,91.0,.320,.139,.524,.474,15.8,30.1,.247,.502,14.1,70.6,.231,General Motors Place,"569,864",0
2000,Golden State Warriors,26.9,19,63,20,62,-8.27,0.64,-7.63,99.8,108.4,-8.6,95.4,.301,.150,.484,.444,13.9,32.6,.210,.499,14.6,69.1,.259,The Arena in Oakland,"509,171",0
2000,Chicago Bulls,26.0,17,65,15,67,-9.40,0.17,-9.23,94.2,104.6,-10.4,89.4,.338,.167,.490,.443,18.0,29.9,.240,.484,14.5,69.9,.240,United Center,"907,064",0
2000,Los Angeles Clippers,24.2,15,67,13,69,-11.52,0.80,-10.73,97.8,110.1,-12.3,93.9,.270,.188,.499,.458,14.9,26.1,.202,.507,13.1,69.6,.220,STAPLES Center,"559,714",0
2000,League Average,27.8,,,41,41,0.00,0.00,0.00,104.1,104.1,,93.1,.308,.167,.523,.478,14.2,28.9,.231,.478,14.2,71.1,.231,,"691,469",0
2001,San Antonio Spurs,29.5,58,24,63,19,7.76,0.16,7.92,106.6,98.0,+8.6,89.6,.374,.175,.541,.496,13.6,27.1,.267,.444,12.9,73.7,.182,Alamodome,"913,176","22,273"
2001,Sacramento Kings,27.1,55,27,57,25,5.82,0.25,6.07,105.6,99.6,+6.0,94.4,.298,.194,.529,.484,13.4,27.2,.230,.460,14.5,70.7,.181,ARCO Arena (II),"709,997","17,317"
2001,Utah Jazz,32.0,53,29,55,27,4.70,0.31,5.00,107.6,102.4,+5.2,89.8,.363,.135,.546,.497,15.1,30.2,.273,.473,15.6,73.2,.301,Delta Center,"792,196","19,322"
2001,Philadelphia 76ers,28.2,56,26,54,28,4.28,-0.65,3.64,103.6,98.9,+4.7,90.6,.351,.124,.518,.468,14.7,31.2,.262,.460,14.5,72.5,.186,First Union Center,"805,692","19,651"
2001,Portland Trail Blazers,30.1,50,32,53,29,4.20,0.33,4.52,106.5,101.8,+4.7,89.1,.296,.165,.539,.497,14.8,30.0,.225,.470,14.3,72.4,.223,Rose Garden Arena,"831,376","20,277"
2001,Dallas Mavericks,26.6,53,29,53,29,4.28,0.32,4.61,107.1,102.6,+4.5,93.2,.291,.202,.544,.498,13.1,24.1,.231,.467,14.2,70.7,.244,Reunion Arena,"680,238","16,591"
2001,Milwaukee Bucks,28.2,52,30,52,30,3.88,-0.74,3.14,108.8,104.6,+4.2,92.1,.276,.218,.542,.499,12.8,28.1,.217,.473,14.4,71.1,.253,Bradley Center,"683,125","16,662"
2001,Los Angeles Lakers,29.2,56,26,51,31,3.38,0.37,3.74,108.4,104.8,+3.6,91.7,.349,.191,.535,.498,13.3,31.1,.238,.468,12.2,72.5,.234,STAPLES Center,"776,336","18,935"
2001,New York Knicks,29.8,48,34,50,32,2.63,-0.65,1.98,101.2,98.2,+3.0,86.7,.279,.180,.523,.476,14.6,24.2,.222,.453,14.7,74.3,.240,Madison Square Garden (IV),"810,283","19,763"
2001,Miami Heat,30.9,50,32,48,34,2.29,-0.57,1.73,101.1,98.5,+2.6,87.1,.299,.221,.515,.469,13.7,24.3,.227,.460,15.3,72.7,.214,AmericanAirlines Arena,"678,186","16,541"
2001,Toronto Raptors,29.9,47,35,48,34,2.26,-0.57,1.69,105.9,103.4,+2.5,90.9,.285,.167,.510,.468,12.1,30.8,.213,.476,13.3,73.2,.212,Air Canada Centre,"793,256","19,348"
2001,Houston Rockets,26.7,45,37,48,34,2.29,0.42,2.71,106.7,104.2,+2.5,90.4,.321,.217,.538,.492,14.0,27.5,.244,.475,12.6,71.9,.206,Compaq Center,"518,555","12,648"
2001,Charlotte Hornets,28.2,46,36,48,34,2.10,-0.65,1.45,101.8,99.5,+2.3,89.4,.330,.151,.506,.457,13.7,29.8,.246,.456,14.1,74.5,.222,Charlotte Coliseum,"615,424","15,010"
2001,Phoenix Suns,28.6,51,31,48,34,2.21,0.42,2.63,100.3,98.0,+2.3,93.1,.292,.156,.506,.460,14.1,27.3,.221,.460,16.3,73.7,.252,America West Arena,"737,586","17,990"
2001,Minnesota Timberwolves,27.4,47,35,45,37,1.35,0.46,1.81,105.2,103.7,+1.5,91.8,.253,.131,.523,.482,13.0,28.6,.199,.478,14.2,71.9,.238,Target Center,"717,371","17,497"
2001,Orlando Magic,26.0,43,39,44,38,0.99,-0.60,0.39,103.2,102.1,+1.1,93.2,.301,.196,.513,.474,13.8,29.1,.215,.464,15.6,69.8,.290,TD Waterhouse Centre,"605,031","14,757"
2001,Seattle SuperSonics,27.9,44,38,41,41,0.02,0.52,0.55,105.6,105.6,0.0,91.6,.299,.176,.530,.491,14.3,29.1,.219,.488,13.9,69.8,.199,KeyArena at Seattle Center,"640,847","15,630"
2001,Indiana Pacers,27.7,41,41,40,42,-0.20,-0.57,-0.77,102.0,102.2,-0.2,89.4,.312,.180,.519,.471,14.5,27.0,.239,.452,12.8,71.4,.235,Conseco Fieldhouse,"731,800","17,849"
2001,Detroit Pistons,27.1,32,50,36,46,-1.70,-0.39,-2.08,100.0,101.8,-1.8,94.7,.325,.162,.498,.453,14.2,29.3,.234,.466,14.0,72.2,.233,The Palace of Auburn Hills,"607,323","14,813"
2001,Boston Celtics,25.9,36,46,35,47,-2.13,-0.26,-2.40,101.4,103.7,-2.3,92.6,.338,.252,.521,.473,14.7,25.3,.250,.493,16.0,72.7,.256,FleetCenter,"629,201","15,346"
2001,Denver Nuggets,27.9,40,42,34,48,-2.46,0.64,-1.83,103.7,106.3,-2.6,92.6,.286,.210,.511,.470,12.8,28.3,.211,.476,12.1,71.8,.223,Pepsi Center,"619,300","15,105"
2001,Los Angeles Clippers,24.3,31,51,32,50,-2.89,0.66,-2.23,101.3,104.5,-3.2,89.6,.319,.164,.514,.476,14.9,28.3,.221,.466,12.0,71.1,.217,STAPLES Center,"601,587","14,673"
2001,Cleveland Cavaliers,26.9,30,52,28,54,-4.24,-0.23,-4.48,100.3,104.9,-4.6,91.2,.312,.101,.509,.459,15.4,29.7,.239,.477,14.1,71.1,.248,Gund Arena,"650,775","15,873"
2001,New Jersey Nets,27.5,26,56,26,56,-5.05,-0.25,-5.30,100.0,105.5,-5.5,91.8,.328,.165,.504,.452,13.9,25.7,.249,.488,14.9,70.0,.258,Continental Airlines Arena,"556,573","13,575"
2001,Atlanta Hawks,26.1,25,57,26,56,-5.21,-0.34,-5.55,98.7,104.3,-5.6,91.9,.272,.140,.500,.456,15.5,28.9,.206,.472,13.8,70.8,.249,Philips Arena,"560,330","13,667"
2001,Vancouver Grizzlies,26.2,23,59,25,57,-5.73,0.79,-4.94,99.6,105.8,-6.2,91.7,.289,.145,.510,.464,14.9,26.1,.223,.491,13.8,69.8,.194,General Motors Place,"563,218","13,737"
2001,Washington Wizards,27.0,19,63,23,59,-6.67,-0.08,-6.75,100.6,107.8,-7.2,92.7,.348,.131,.514,.460,15.7,29.7,.264,.503,14.1,71.8,.236,MCI Center,"638,653","15,577"
2001,Golden State Warriors,26.6,17,65,17,65,-9.05,0.94,-8.11,97.8,107.4,-9.6,94.1,.282,.134,.470,.429,13.9,33.3,.199,.504,15.0,69.7,.227,The Arena in Oakland,"591,981","14,439"
